area;ciudad;conglomerado;vivienda;hogar;s11p11a;s11p11b;s11p12a;s11p12b;s11p13a;s11p13b;s11p14a;s11p14b;s11p15a;s11p15b;s11p16a;s11p16b;s11p17a;s11p17b;s11p18a;s11p18b;s11p19a;s11p19b;s11p110a;s11p110b;s11p111a;s11p111b;s11p112a;s11p113a;s11p113b;s11p114a;s11p114b;s11p2;estrato3;fexp3;upm;id_hogar
1;10150; 10150001306;2;1;2; ;2; ;2; ;1;2;1;1;2; ;1;1;1;1;2; ;2; ;2; ;2;2; ;2; ;1;2713;1501,45753488071;010150001306;010150001306021
1;10150; 10150001306;6;1;1;1;2; ;1;1;1;6;1;1;2; ;1;2;1;1;1;1;2; ;2; ;1;1;1;2; ;1;2713;1512,07178405152;010150001306;010150001306061
1;10150; 10150001306;8;1;1;1;1;1;1;1;1;2;2; ;2; ;1;3;1;1;1;1;2; ;2; ;2;1;1;2; ;1;2713;1512,07178405152;010150001306;010150001306081
1;10150; 10150001306;10;1;1;1;2; ;1;1;2; ;1;1;2; ;2; ;1;1;1;1;2; ;2; ;2;1;1;2; ;1;2713;1501,45753488071;010150001306;010150001306101
1;10150; 10150001306;13;1;2; ;2; ;2; ;1;2;1;1;2; ;2; ;1;1;2; ;2; ;2; ;2;2; ;2; ;1;2713;1501,45753488071;010150001306;010150001306131
1;10150; 10150001306;15;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;1;2; ;2; ;2; ;2;2; ;2; ;2;2713;1512,07178405152;010150001306;010150001306151
1;10150; 10150001903;4;1;1;1;1;1;2; ;1;1;2; ;1;1;2; ;1;1;1;1;2; ;2; ;2;2; ;2; ;2;2713;1423,36988165123;010150001903;010150001903041
1;10150; 10150001903;6;1;1;1;2; ;2; ;1;2;1;1;2; ;2; ;1;1;2; ;2; ;2; ;2;2; ;2; ;1;2713;1433,4321060133;010150001903;010150001903061
1;10150; 10150001903;8;1;1;1;2; ;2; ;1;2;2; ;1;1;2; ;1;1;1;1;2; ;2; ;2;2; ;2; ;1;2713;2018,39075796723;010150001903;010150001903081
1;10150; 10150001903;10;1;2; ;1;2;1;1;1;2;1;2;2; ;2; ;1;1;2; ;2; ;2; ;1;2; ;2; ;1;2713;1433,4321060133;010150001903;010150001903101
1;10150; 10150001903;12;1;2; ;2; ;2; ;1;1;1;1;2; ;2; ;2; ;1;1;2; ;2; ;2;2; ;2; ;2;2713;1423,36988165123;010150001903;010150001903121
1;10150; 10150001903;14;1;2; ;2; ;2; ;1;2;2; ;1;1;2; ;1;1;1;1;2; ;2; ;2;2; ;2; ;1;2713;1753,05618223781;010150001903;010150001903141
1;10150; 10150004403;6;1;2; ;1;2;1;1;1;4;2; ;2; ;1;1;1;1;1;1;2; ;2; ;1;2; ;2; ;1;2713;1365,74225656267;010150004403;010150004403061
1;10150; 10150004403;8;1;2; ;2; ;2; ;1;2;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2;2; ;2; ;1;2713;1356,15519279548;010150004403;010150004403081
1;10150; 10150004403;10;1;1;1;1;1;2; ;1;2;1;1;2; ;2; ;1;1;1;1;2; ;2; ;1;1;1;2; ;1;2713;1923,07786106322;010150004403;010150004403101
1;10150; 10150004403;13;1;2; ;2; ;2; ;1;2;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2;2; ;2; ;2;2713;1670,27297363214;010150004403;010150004403131
